Property_Type,ENERGY_STAR_Score,SiteEUI,SourceEUI,GHG_Emissions,GHG_Emissions_Intensity,Weather_Site_EUI,Weather_Source_EUI,Floor_Area
,,,,,,,,193938
Museum,,5.6,16.9,17,0.4,5.6,16.9,37931
Self-Storage Facility,,6.6,19.9,6.3,0.5,6.6,19.9,12016
,,,,,,,,20265
,,,,,,,,422199
Supermarket/Grocery Store,24,146.3,428.5,207.8,11.5,145.2,425,18055
Worship Facility,80,27.2,44.1,27.4,1.7,29.5,46.5,16500
,,,,,,,,18000
Office,96,72.2,191.7,8541.3,5.4,73.3,191.9,1751470
Other - Services,,2.4,7.6,6.1,0.2,2.4,7.6,39000
Bar/Nightclub,,29.5,79.8,22.3,2.2,29,78.2,10000
Hotel,44,95.3,172,124.1,6,96.4,175.4,24341
,,,,,,,,90768
,,,,,,,,18360
,,,,,,,,16380
Other,,28.9,89.7,31.6,2.3,27.6,85.6,13491
,,,,,,,,1545220
Worship Facility,89,37,80.2,39,2.5,39.1,82.5,15444
Hotel,58,89.1,197,688,6.5,88.6,195.5,106577
Office,100,17.4,54.5,90.6,1.4,16.8,52.9,64000
Mixed Use Property,,48.9,149.6,42.2,3.9,49.1,149.8,10728
,,,,,,,,143204
Restaurant,,178.3,298.9,180.2,11,178.3,298.9,16395
,,,,,,,,10750
Movie Theater,,84.4,198.5,77.2,6,86.4,199.3,12920
Bar/Nightclub,,17.7,52.1,22.3,1.4,17.7,52.1,16000
Office,90,41.1,123.6,172.4,3.3,41.4,124,52596
,,,,,,,,60976
,,,,,,,,59910
Office,83,60.5,142.7,2591.9,4.6,62,144.5,587116
,,,,,,,,11000
Office,37,91.9,214.6,292,6.5,91.9,214.6,45000
Office,87,49.2,134.5,930.3,3.7,48.7,132.9,262125
Office,56,75.7,147.5,81.6,4.9,78.1,150,16500
Office,99,26.6,64.1,48.5,1.9,26.6,64.1,25500
,,,,,,,,305853
Other,,24.1,39.4,51.6,1.5,25.4,40.8,35000
,,,,,,,,21855
,,,,,,,,31400
,,,,,,,,22389
Mixed Use Property,61,38.8,104.2,447.7,2.9,40.8,105.6,302330
,,,,,,,,52000
Office,99,28.6,76.9,382.9,2.2,29,77.4,187852
Automobile Dealership,,8.9,23.7,14.7,0.7,9.4,23.9,22000
College/University,,22.4,70.3,92.5,1.8,22.4,70.3,50700
,,,,,,,,24000
,,,,,,,,112054
Non-Refrigerated Warehouse,83,8.2,23.3,21.7,0.6,8.5,23.6,39996
,,,,,,,,9100
,,,,,,,,10871
Office,,62.6,183.9,66.4,4.9,63.6,184.9,13475
Office,85,76,100.9,238.9,4.3,83.9,109.2,55250
,,,,,,,,11174
,,,,,,,,12080
Office,95,36.1,101.4,728.2,2.8,36.6,101.5,261732
Office,75,97.5,225.9,367.7,6.9,96.5,223,86623
Office,67,52.7,124,60.9,3.7,53.3,122.8,16310
,,,,,,,,16702
Movie Theater,,107.6,242.7,579.5,7.5,108.7,242.9,115708
Office,79,33.7,103.9,79.1,2.7,33.7,103.9,29064
,,,,,,,,35160
,,,,,,,,13884
Office,95,20,55.3,21.3,1.5,20.2,55.5,13923
,,,,,,,,48004
Office,88,54.4,115.8,159.1,3.7,57.6,119.1,43130
Office,88,72.8,165.5,743.5,5.1,73.9,165.9,252253
Distribution Center,,17.7,55.5,37.7,1.4,17.7,55.5,26162
Hotel,75,62.6,124.6,6305.6,4.5,62.6,124.6,1471800
,,,,,,,,18400
Office,99,17.8,43.5,43.6,1.3,18.6,44.4,36934
Office,94,42.2,127.9,353.4,3.4,42.2,127.9,103941
Office,,242.6,468.2,734.3,15.8,240.8,462.4,46500
Office,100,1.9,2.6,1.7,0.1,2.2,2.9,15600
Office,89,38.8,121.8,648.6,3.2,38.3,120.3,205076
Office,85,77,193.4,5298.6,5.6,78.7,195.2,1068638
Office,91,26.3,80.4,204.1,2.1,26.2,79.8,95832
Office,73,48.8,147.4,257.4,3.9,48,145.1,66028
Office,,53.9,128.4,445.6,3.8,55.6,129.7,116050
Hotel,100,55.4,84.7,100.8,3.3,55.4,84.7,30500
,,,,,,,,31973
Office,96,24,69.3,50.2,1.9,24,69.3,26800
Office,100,19.7,42.3,123.3,1.3,20.9,43.6,91995
Office,98,46.5,94.6,191.2,3.1,49.2,97.5,61839
Bar/Nightclub,,38,119.3,52.6,3.1,38,119.3,16981
Office,47,77.1,164.6,175,5.2,77,162.9,33451
Office,44,103,169.8,238.2,6.3,103,169.8,37747
,,,,,,,,126988
,,,,,,,,72168
Office,94,33.2,63.1,92.3,2.4,36.3,66.9,38795
,,,,,,,,61600
Retail Store,9,60.8,191,468.7,5,59.9,187.9,94505
,,,,,,,,42976
,,,,,,,,17546
Office,,42.2,113.5,63.6,3.2,42.2,113.5,20000
Office,61,62.9,141.9,77.8,4.4,67.1,146.3,17795
,,,,,,,,13183
Non-Refrigerated Warehouse,94,8.9,22.6,15.4,0.7,9.4,23.1,23600
,,,,,,,,205964
Other - Services,,15.9,49.9,15.7,1.3,15.9,49.9,12100
,,,,,,,,10005
,,,,,,,,13136
Office,28,62.3,188.2,77.2,5,62.6,188.6,15500
Office,85,50.5,105.8,217.9,3.4,53.9,109.3,64104
,,,,,,,,42039
Office,96,23.8,67.8,43.3,1.8,23.8,67,23466
College/University,,105.4,220.9,305.5,7.1,105.4,220.9,43060
Office,,83.4,202.4,396.1,6.3,83.4,202.4,62534
Office,92,66.1,149.8,3755.7,4.9,66.1,149.8,760565
,,,,,,,,10474
,,,,,,,,24022
Food Service,,78,143.9,106,5,78.7,144.8,21263
,,,,,,,,15559
Food Sales,,348.3,426.8,209,19.3,347.9,425.3,10812
Office,100,19.6,54.9,35.7,1.5,19.6,54,27667
Office,53,64.1,136.6,115.1,4.3,63.5,134.6,26476
Office,86,45.6,107.3,69.5,3.2,46.3,108,28750
,,,,,,,,18000
Office,97,35.8,101.8,2017.7,2.8,35.8,101.8,747573
Office,100,20.5,40.3,17.2,0.6,,,38000
,,,,,,,,30000
Retail Store,,,,60.2,3.8,,,25994
,,,,,,,,47838
Retail Store,,47.9,115,35.1,3.4,47.7,114.2,10250
Hospital (General Medical & Surgical),66,179.4,360.4,5293.6,11.9,182,361.3,446031
,,,,,,,,16275
Office,93,39.4,117,1838.2,3.1,39.7,117.3,609818
Office,86,27.9,66.3,21.3,2,29.3,67.8,10750
Distribution Center,29,44.4,139.2,198.9,3.6,44.4,139.2,55000
Retail Store,3,67.1,210.6,81.8,5.5,67.1,210.6,14950
Hotel,66,62.3,123,101.7,4.1,62.3,123,24840
,,,,,,,,11952
Hotel,38,160.3,283.8,111.5,10.1,164.9,291.1,19050
Office,92,32.4,101.6,29.6,2.6,32.4,101.6,16228
,,,,,,,,16689
Manufacturing/Industrial Plant,,19.6,41.2,14.4,1.3,21.8,43.6,10934
K-12 School,96,43.5,101.5,123.4,2.5,44.1,102.2,48556
Mixed Use Property,,10.4,29.8,14.9,0.8,10.6,30,24632
Mixed Use Property,,56.4,131.9,280.7,4.1,57,131.7,68132
Office,62,115.9,183.9,171.6,7,122.3,190.6,24500
,,,,,,,,27603
Hotel,32,124,255.5,281.8,8.3,124.6,257.4,34000
,,,,,,,,33379
,,,,,,,,16200
,,,,,,,,290000
,,,,,,,,33000
Office,61,43,133.1,35.7,3.5,41.9,129.7,10275
Non-Refrigerated Warehouse,85,13.2,23.8,16.8,0.8,13.2,23.8,20000
Automobile Dealership,,37.8,111.2,68.1,3,38.4,111.8,22846
,,,,,,,,32082
Worship Facility,99,8.1,14.3,7.6,0.5,8.1,14.3,15000
,,,,,,,,10998
,,,,,,,,21247
Office,100,27,52.4,26.4,1.8,28.3,53.6,15500
,,,,,,,,20212
,,,,,,,,64876
Hotel,59,77.2,131.2,518.9,5.1,77.2,131.2,101662
K-12 School,87,35.6,73.5,486.8,2.4,37.4,75.3,204509
,,,,,,,,47950
,,,,,,,,42822
,,,,,,,,138003
,,,,,,,,14390
Mixed Use Property,,104.7,233.5,79.6,7.2,108.9,238,10992
Other,,1250.6,2082.3,919.9,76.9,1244.7,2063.7,11965
Adult Education,,25.3,60.6,52.8,1.8,25.6,59.7,29221
Hotel,,55.6,135.1,554.7,4,55.6,135.1,138810
Mixed Use Property,,132.9,247.2,116.3,8.5,132.9,247.2,13646
,,,,,,,,29190
,,,,,,,,10400
Office,,21.8,64.9,59.8,1.7,21.9,65.1,42600
Worship Facility,90,14.5,37.5,16.5,1.1,14.5,37.5,15350
Office,43,76.9,152,194.6,5.1,81.9,157.3,38508
,,,,,,,,60171
Retail Store,99,12.5,34.2,125.1,0.9,12.8,34.6,131885
,,,,,,,,12000
,,,,,,,,29590
,,,,,,,,42675
,,,,,,,,128901
Office,,93.5,194.2,253.8,6.3,95.1,194.2,64570
Medical Office,72,62.1,177.1,687.4,4.8,62.7,176.8,263062
Office,96,28.7,78.5,42.2,2.2,29.4,79.2,19322
Office,54,87,194.8,453.8,6,87.3,192.7,75272
,,,,,,,,12402
Office,90,47.6,140.5,3873.3,3.8,48.2,141,1101389
Other,,20.1,63.2,32,1.6,20.1,63.2,19500
Urgent Care/Clinic/Other Outpatient,,22,63.3,33.3,1.7,21.9,62.3,19425
Office,,52.1,163.6,7,4.2,52.9,166.1,23836
Medical Office,77,38.7,90,34.1,2.7,38.7,90,12500
Retail Store,,51.2,160.8,54.3,4.2,50.8,159.4,12998
Mixed Use Property,100,14.3,38.6,215.7,1.1,14.3,38.6,200000
Office,84,71.1,161.3,339.4,5,69.6,156.7,68538
,,,,,,,,36508
Office,37,64.2,189.7,125.2,5.1,63.8,186.7,24685
,,,,,,,,10200
,,,,,,,,20636
Office,92,41.6,110.1,342.7,3.1,43,111.6,115609
Office,,95.4,201.9,371.8,6.4,95.4,201.9,57649
Supermarket/Grocery Store,17,243.7,765.3,423.3,19.9,241.6,758.6,46800
Office,100,15.4,37.9,16.7,1.1,15.9,38.5,15000
"Personal Services (Health/Beauty, Dry Cleaning, etc.)",,42,107,85.3,3.1,43.5,108.5,27620
,,,,,,,,77579
,,,,,,,,13277
,,,,,,,,226487
,,,,,,,,21720
,,,,,,,,44402
,,,,,,,,18675
Office,30,101,263,605,7.5,100.4,261.3,80700
Office,94,46.6,128.6,935.7,3.6,47.9,130,282148
Non-Refrigerated Warehouse,37,57.1,132.5,146.3,4,60.1,135.7,48400
,,,,,,,,18307
,,,,,,,,15000
Retail Store,65,33.6,104.9,68.2,2.7,33.6,104.9,24989
,,,,,,,,20500
Office,65,27.4,80.8,28.8,2.2,27.8,81.2,13303
,,,,,,,,16793
,,,,,,,,30000
Office,41,47.7,121.6,59.6,3.5,47.7,121.6,16983
Hotel,67,78,150.6,237.6,5.1,79.7,152.4,46800
,,,,,,,,19108
Office,67,74,157.5,213.1,5,74,157.5,42489
K-12 School,95,21.4,60.1,112,1.6,21.4,60.1,68000
,,,,,,,,17684
,,,,,,,,32000
Mixed Use Property,,62.8,161.4,370.9,4.6,63.5,162.1,91619
Medical Office,79,66.8,114.4,285,4.1,72.6,120.6,68691
,,,,,,,,144380
Non-Refrigerated Warehouse,70,15.2,38,49.8,1.1,15.2,38,63971
Non-Refrigerated Warehouse,,19.3,52.2,17.2,1.5,19.3,52.2,57660
Office,92,38.2,113.8,293.4,3,38.2,112.8,96776
,,,,,,,,65576
Supermarket/Grocery Store,59,133.8,388.4,656.3,10.5,133.8,388.4,62630
,,,,,,,,119943
,,,,,,,,13250
Social/Meeting Hall,,56.1,110.5,85.1,3.7,56.9,111.2,23100
,,,,,,,,15682
,,,,,,,,140860
Other,,23.2,54,31.7,1.6,23.6,54.4,19400
,,,,,,,,16538
Fitness Center/Health Club/Gym,,33.4,104.9,129.4,2.7,33.4,104.9,47500
Office,87,70.1,190.6,3107.8,5.3,71.6,192.2,584663
Office,97,38.2,108,657.8,3,38.2,108,222918
Office,85,67.1,182.6,993.2,5.1,68.1,183.6,195096
Office,45,49.6,93.5,54.1,3.2,49.6,93.5,16920
,,,,,,,,66000
,,,,,,,,18086
Hotel,51,63.7,132.5,,,63.3,131.3,1964250
Office,92,52.3,125.4,1069.4,3.7,54.3,127.6,286357
Hotel,90,70.8,115.2,460.6,4.3,70.8,115.2,124147
Office,86,37.8,104.2,88.8,2.9,38,102.9,30750
Office,99,17.5,42.3,22.6,1.3,,,18050
Worship Facility,97,16.9,32.7,28.7,1.1,17.7,33.4,26000
Office,98,18.8,53.3,23.5,1.5,19.1,53.6,16162
,,,,,,,,61312
,,,,,,,,225000
,,,,,,,,34987
,,,,,,,,11567
Non-Refrigerated Warehouse,62,6.2,19.4,16.8,0.5,6.2,19.4,33372
Hotel,97,55.9,84.5,132.4,3.3,58.3,87,39880
K-12 School,95,27.3,65.7,33.2,2,28.6,67.1,17000
Office,88,20.3,63.8,47.8,1.7,20.3,63.8,28861
Manufacturing/Industrial Plant,,81.5,182.9,165.4,5.7,84.2,185.7,29280
,,,,,,,,43860
Non-Refrigerated Warehouse,9,72.3,172.6,63.4,5.2,76.6,177.1,12300
,,,,,,,,18720
,,,,,,,,10000
Retail Store,1,323.2,353.5,186.4,17.4,323.2,353.5,10737
,,,,,,,,11500
Medical Office,67,97.7,145.5,302.4,5.8,103.2,151.3,67600
,,,,,,,,15000
Office,77,101.2,227.9,5857.7,7,103.1,229.7,1059539
Fitness Center/Health Club/Gym,,9.6,20.4,8.3,0.7,11.9,23.2,12700
,,,,,,,,102296
Office,86,28.2,73.8,33.3,2.1,29.2,74.8,15837
Office,82,42.7,104.3,54.7,3.1,42.7,104.3,17760
,,,,,,,,28000
Office,98,41,71.9,51.2,2.6,44.3,75.4,37137
,,,,,,,,14000
,,,,,,,,13534
Office,84,52.8,128.6,304.4,3.8,54.6,130.6,85476
,,,,,,,,25452
Hospital (General Medical & Surgical),7,376.2,801.5,1100,25.5,376.4,802.2,43120
,,,,,,,,576544
College/University,,40.9,101.5,741.8,3,41.5,102.2,250000
,,,,,,,,114268
Retail Store,36,144.7,374.1,1413.3,10.7,144.7,374.1,132014
,,,,,,,,100000
,,,,,,,,13277
Office,95,50,138.4,598.7,3.8,50.6,139,203456
Worship Facility,11,58.9,92.3,138.2,3.5,58.9,92.3,39000
Retail Store,,21.7,67.7,31.7,1.8,21.4,66.7,18000
Hotel,38,95.5,155.6,944.9,5.8,96.8,156.5,162214
,,,,,,,,12000
,,,,,,,,42300
,,,,,,,,28516
Office,51,77.2,228.3,147.5,6.1,77.5,226.9,24166
Supermarket/Grocery Store,31,291.1,685.7,571.9,20.6,289.8,681.6,27723
Supermarket/Grocery Store,13,287.1,664.8,969,20.2,287.3,661.8,87996
Worship Facility,84,12.8,18,11.7,0.7,13.9,19.2,15812
,,,,,,,,33000
,,,,,,,,33193
Non-Refrigerated Warehouse,79,10.9,19,7.7,0.7,10.9,19,11312
,,,,,,,,51561
Other,,2.4,7.5,13.9,0.2,2.4,7.5,71833
,,,,,,,,33635
,,,,,,,,112390
,,,,,,,,13194
,,,,,,,,19282
,,,,,,,,11220
,,,,,,,,32654
,,,,,,,,23262
,,,,,,,,40600
,,,,,,,,15378
Automobile Dealership,,17.4,54.4,241,1.4,17.4,54.4,193977
Hotel,61,64.3,111.2,56,4,64.9,111.8,13976
Automobile Dealership,,17.6,55.4,34.5,1.4,17.6,55.4,24000
Office,96,53,142,3033.9,4,53,142,840456
,,,,,,,,13666
Office,91,38.6,121.1,840.4,3.1,38.9,122.2,279248
Office,95,26,67.7,28.4,1.9,26,67.7,14719
Non-Refrigerated Warehouse,,11.6,36.3,89.6,0.9,11.6,36.3,95070
Office,100,20.4,36.8,24.9,1.3,21.6,38.2,19260
,,,,,,,,10760
,,,,,,,,36000
Performing Arts,,13.6,37.5,72.6,1,14,37.9,70000
,,,,,,,,11000
Office,,22.1,69.5,38.5,1.8,22.1,69.5,21323
Office,97,36.8,112.5,49.7,3,37.1,112.8,16800
Urgent Care/Clinic/Other Outpatient,,234.8,482.1,2632,15.7,236.3,480,167930
,,,,,,,,14190
,,,,,,,,10275
Retail Store,50,114.7,330.6,117.3,9,116.8,332.9,13100
Hotel,44,94.1,194.2,382.2,6.3,92.9,190.3,65892
College/University,,42.3,85.8,29.5,2.8,44.7,86.9,16997
Office,,9.2,26.8,25.5,0.7,9.4,27,54702
Worship Facility,35,14.7,18.1,22,0.8,16.3,19.8,26904
,,,,,,,,19487
,,,,,,,,31413
,,,,,,,,24024
,,,,,,,,20500
Distribution Center,63,13.8,42.2,34.6,1.1,13.5,41.3,31250
Office,59,52.8,144.4,178.6,4.1,52.8,144.4,43174
Worship Facility,93,25.1,36.8,23.9,1.2,26.3,38.1,19819
,,,,,,,,97000
Other,,23.1,61.1,70.8,1.7,22.5,59.2,46075
Mixed Use Property,,209.3,569.9,173.2,15.9,208.7,565.7,10906
,,,,,,,,666418
Retail Store,97,22.9,67.2,518.2,1.9,,,280025
,,,,,,,,160345
Office,30,71.6,222.5,213.9,5.8,71.7,222.7,36838
Office,85,24.9,58,28.1,1.8,26.5,59.6,16000
,,,,,,,,14625
,,,,,,,,449760
,,,,,,,,94981
Office,82,75.3,199.7,2548.3,5.6,75.3,198.3,471807
Office,95,44.6,94.7,313.9,3,45.6,95.7,103861
,,,,,,,,65336
,,,,,,,,35810
,,,,,,,,10545
,,,,,,,,11268
,,,,,,,,12223
,,,,,,,,18330
Mixed Use Property,,74.6,159,297,5.1,74.6,159,83296
Office,57,79.8,170.2,413.9,5.4,82.3,172.8,76431
Office,95,27.8,85.2,78.2,2.2,27.9,85.4,34955
,,,,,,,,14300
,,,,,,,,41500
,,,,,,,,22111
Office,68,40,111.9,44.3,3.1,40,111.9,14400
,,,,,,,,31000
,,,,,,,,10851
Retail Store,64,115.8,363.7,102.7,9.4,115.8,363.7,10875
Hotel,69,81.4,176.4,1389.7,5.6,82,177,254875
Office,86,49.9,105.6,120.2,3.4,50.6,105.6,35649
,,,,,,,,10800
,,,,,,,,81406
Office,45,58,164.8,48.5,4.5,59.1,166,10800
,,,,,,,,86451
Office,84,52.8,125.9,491.4,3.8,53.3,124.8,130585
Supermarket/Grocery Store,44,146.4,355.9,130.1,10.5,147.3,354.8,22900
,,,,,,,,21895
,,,,,,,,10065
Office,88,48.6,121.3,104.8,3.5,51,123.9,41434
,,,,,,,,10588
,,,,,,,,16952
Office,,,,,,,,25121
,,,,,,,,19662
,,,,,,,,58822
Office,,113.2,229.5,220.3,7.5,114.3,230.6,29309
,,,,,,,,20058
Other,,29.3,80.5,48.7,2.2,30.4,81.6,21805
,,,,,,,,34850
College/University,,42.9,96.1,91.8,3,44.7,97.9,30900
,,,,,,,,21845
Office,94,48.5,144.2,3217,3.8,48.8,144.5,998592
Office,96,32,97.3,277,2.6,31.7,96.1,108000
,,,,,,,,174765
Office,72,40.7,122.2,54.8,3.2,40.3,120.8,23340
Hotel,94,45.7,104.6,65.7,3.2,46.5,107.1,20545
,,,,,,,,105160
Office,100,32.3,74.1,24.9,2.3,34.1,76.1,11000
,,,,,,,,12264
Office,78,36.4,73.8,32,2.4,40.8,78.5,13250
,,,,,,,,25543
,,,,,,,,10114
,,,,,,,,21600
Office,88,73.2,191.5,517.6,5.4,72.2,188.1,124258
Mixed Use Property,,139.8,240.4,102.1,8.7,139.8,240.4,11740
Non-Refrigerated Warehouse,57,12.4,37.8,91,1,12.5,38,91367
Office,99,24.2,67.9,181,1.9,24.7,68.4,97123
Office,78,51.3,124.8,95.3,3.9,50.4,122,24444
,,,,,,,,25800
Worship Facility,82,36.3,60.5,214.4,2.2,38.1,62.4,96035
,,,,,,,,12400
,,,,,,,,24358
Office,42,67.3,205.5,135.2,5.4,67.3,205.5,25000
,,,,,,,,193173
Office,92,58,159.6,1092.6,4.4,59.1,160.7,247000
,,,,,,,,159383
,,,,,,,,10811
Hotel,,73.7,147.4,1335.6,4.9,74.7,148.5,274550
,,,,,,,,47488
,,,,,,,,83000
,,,,,,,,67200
Worship Facility,98,12.7,23.9,12.7,0.8,13.1,24.4,15507
Medical Office,87,58.3,87.8,159.7,3.5,61.7,91.4,54030
,,,,,,,,13600
Hotel,87,69.5,163.8,1439.7,4.9,69.7,163,292168
Medical Office,79,42.5,121.6,77.6,3.3,41.6,118.7,34911
,,,,,,,,20671
Enclosed Mall,,20.7,63.7,549.1,1.7,20.5,62.8,328873
Office,100,7.1,21,37,0.6,7.3,21.3,66000
Office,34,120.9,230.9,192.5,7.8,123.3,229.8,24564
,,,,,,,,20000
,,,,,,,,36075
Office,95,67.7,160.3,3543.2,4.8,,,754385
Office,19,82,255.7,183.1,6.7,80.6,251.6,39992
,,,,,,,,764999
,,,,,,,,32421
,,,,,,,,10000
Office,97,38,111.8,649,3,38.4,112.2,247901
Office,16,176.2,287.7,167.6,10.8,,,15586
Office,99,25.7,68,234.6,1.9,26.8,69.2,122020
Office,92,45.9,133.6,1876.6,3.6,45.9,132.8,588929
Multifamily Housing,96,94.1,174,77.5,6,94.1,174,12870
Retail Store,60,18.9,59.2,25.2,1.5,18.9,59.2,16400
Veterinary Office,,77.7,203.3,71.7,5.8,79,202.9,12400
Office,89,34.1,104.5,137.1,2.7,34.1,104.5,49917
,,,,,,,,36961
Supermarket/Grocery Store,24,292,723.4,685,21.2,292,723.4,67346
,,,,,,,,37063
Hotel,72,100.6,175.3,259.6,6.3,102.1,175.8,41272
,,,,,,,,64100
,,,,,,,,43239
Office,95,34.8,107.9,539.9,2.8,34.4,106.9,198612
Office,97,47.1,129.6,1096.1,3.6,47.9,130.4,305000
Office,89,43.8,136.3,1270.7,3.6,43.9,136.3,361041
,,,,,,,,21242
Office,,37,93.1,32.4,2.7,38.2,94.3,12000
,,,,,,,,45524
,,,,,,,,334000
Bar/Nightclub,,25,77.7,43,2,24.6,76.1,21190
Office,35,88.5,198.3,303.2,6.1,89.2,197.6,49446
,,,,,,,,42800
,,,,,,,,11203
,,,,,,,,94349
Office,91,38,113.5,369.2,3.1,38,113.5,120971
Office,92,71.5,179,4045.5,5.2,71.5,179,1126589
Retail Store,,35.6,111.7,78.7,2.9,35.6,111.7,43125
,,,,,,,,23111
,,,,,,,,18312
,,,,,,,,39595
,,,,,,,,95267
,,,,,,,,42500
,,,,,,,,16689
Office,,16,41.3,23.4,1.2,16.5,41.9,19786
,,,,,,,,290568
Office,85,36.4,93,39.4,2.7,38.1,94.7,14700
Office,84,41.1,129,225.7,3.3,40.5,127.1,67390
,,,,,,,,28042
Hotel,15,118.6,191,407.8,7.2,119.8,191.5,56598
Restaurant,,325.3,492.9,228.6,19.3,325.3,492.9,11824
,,,,,,,,15498
Other - Entertainment/Public Assembly,,48.6,112.5,38.5,3.4,48.6,112.5,11260
Office,89,26.1,62.1,61.2,1.9,26.8,62.9,33000
Office,25,157.6,331.3,1021.7,10.6,157.6,331.3,136297
,,,,,,,,28096
Office,97,55.5,128.4,537.9,3.9,57.6,130.6,235669
Office,93,35.4,91.4,216.8,2.6,36.3,92.5,82862
Mixed Use Property,79,13.6,34.2,49.4,1,13.9,34.6,49723
Office,99,19.4,50,22.7,1.4,20,50.6,15823
,,,,,,,,28554
Retail Store,46,45.1,141.6,155.3,3.7,45.1,141.6,42236
Office,47,106.8,165.5,192.3,6.4,106.8,165.5,30044
Office,75,42.9,124.8,100.6,3.4,42.9,124.8,29925
Office,73,49.9,156.3,53.9,4.1,47.7,149.5,13256
Office,93,44.9,125.1,3036.2,3.4,45.8,126.1,955092
,,,,,,,,31983
,,,,,,,,42600
,,,,,,,,14000
Office,87,60.5,152.3,432.2,4.6,59.8,150.1,93140
Office,80,28.1,79.8,111.5,2.2,28.6,80.3,51213
Mixed Use Property,,67.3,165.1,74.9,4.9,66.3,162,15425
College/University,,23.6,47.5,40.5,1.6,24.8,48.7,25920
Office,82,36.5,90.4,44.7,2.6,37.7,92.3,16900
Office,69,59.6,161.4,334.6,4.5,59.6,161.4,88202
,,,,,,,,24759
Office,83,60.8,150.6,547.6,4.4,61.1,150,124181
Other - Recreation,,115.8,198.6,870.9,7.2,118.7,201.6,120983
,,,,,,,,24832
,,,,,,,,21630
,,,,,,,,19578
Restaurant,,32.8,53.7,41.8,2,32.8,53.7,20832
,,,,,,,,11500
Fitness Center/Health Club/Gym,,54.2,145.1,43.9,4.1,54.8,145.1,10755
Office,100,3.8,12.1,4.4,0.3,4.5,14,14000
Retail Store,78,45,141.4,236.1,3.7,45,141.4,64287
Bank Branch,98,23.5,62.3,21.4,1.8,24.5,63.8,20136
Office,68,58.5,137.7,159.8,4.1,60.1,139.3,38537
,,,,,,,,18270
,,,,,,,,82250
Office,94,33.5,105.1,156.4,2.7,33.5,105.1,57312
Office,89,28,82.4,40.6,2.2,27.9,81.3,18407
Other - Services,,15.1,47.4,34.4,1.2,15.1,47.4,27948
,,,,,,,,12400
,,,,,,,,31680
Office,89,68.2,163.5,1935.7,4.9,69,163.5,445438
College/University,,23.2,72.9,204.3,1.9,23.2,72.9,107908
,,,,,,,,19250
College/University,,82.8,165.9,243.6,5.5,87.7,171,64530
,,,,,,,,130326
Office,77,53.2,157.7,357.6,4.2,52.9,156.7,98913
,,,,,,,,176000
Office,95,61.2,167,1045.9,4.6,62,167.9,295114
Office,90,59.7,161.9,2153.7,4.7,60.3,162.1,461271
,,,,,,,,72180
,,,,,,,,282783
Mixed Use Property,,145.4,258,115.6,9.2,145.4,258,12628
,,,,,,,,44748
,,,,,,,,46593
Office,98,92.2,226.6,1387.4,6.7,92.4,224.9,240291
Office,,1417.4,1512.6,1051.8,75.1,1417.6,1513.3,15000
Office,63,43.4,135.2,163.4,3.5,42.5,132.5,46314
Laboratory,,203.4,448.7,3074.1,14,203.2,448.2,219588
,,,,,,,,32162
,,,,,,,,11198
,,,,,,,,109613
Office,79,57.2,129.6,320.2,4,58.4,130.8,80383
College/University,,18.3,47.6,135,1.4,18.9,48.2,99522
Hotel,83,76.9,144.3,236.4,5.1,76.9,144.3,46067
College/University,,55.2,117.1,39,3.7,59.6,121.6,10440
,,,,,,,,47880
Office,95,44.1,111.2,1217.1,3.2,45.3,112.5,410154
Automobile Dealership,,26.3,50.3,99.3,1.1,27.2,51.2,93330
,,,,,,,,55500
,,,,,,,,50037
Office,81,80,198.5,643,5.8,80,198.5,110717
,,,,,,,,20295
,,,,,,,,16593
Movie Theater,,97.6,219.1,74.5,6.8,105.9,227.7,11000
Office,84,56,163.7,2167.1,4.5,55.9,162.4,484663
Office,91,55.7,143.3,883.6,4.1,55.7,143.3,214898
,,,,,,,,16500
,,,,,,,,225000
Office,92,49.8,116.9,507.9,3.8,49.6,116.1,135371
Office,51,92.4,187.8,217.5,6.1,91.4,184.8,35415
,,,,,,,,18593
,,,,,,,,24408
Office,96,38.3,108.3,39.1,3,38.3,108.3,19249
Office,75,53,133.7,93.8,3.9,55.4,136.2,29189
Office,87,43.1,131.4,261.3,3.5,43.4,131.7,75523
,,,,,,,,73100
Office,91,58.7,140.7,825.8,4.2,60.4,142.6,197000
Office,65,44.6,113.9,57.5,3.3,46.8,116.2,17500
,,,,,,,,14250
,,,,,,,,13455
,,,,,,,,15050
Retail Store,51,35.6,80.6,104.2,2.5,37.7,82.8,42075
,,,,,,,,35000
Office,97,20.1,60.1,30.3,1.6,20.3,60.3,18985
,,,,,,,,107743
Office,97,27.3,85.8,40.1,2.2,26.6,83.6,18500
Distribution Center,80,6.6,17.8,21.7,0.5,6.6,17.8,43670
,,,,,,,,10660
Restaurant,,435.5,861.5,302.9,28.6,435.5,861.5,10580
Fitness Center/Health Club/Gym,,61.6,146.7,849.2,4.4,63.5,148.7,249625
Office,92,56,146.9,853.5,4.2,55.6,145,239133
Office,56,54.5,127.9,110.6,3.9,55.6,129,28660
Office,98,36,101.8,1117.8,2.8,36.6,102.5,418566
Hotel,94,30.8,96.7,29.6,2.5,31.8,99.9,16826
,,,,,,,,11000
